Phi[deg],Theta[deg],dB(DirTotal)
112,10,2.07029
114,10,2.07541
116,10,2.08086
118,10,2.08662
120,10,2.09265
122,10,2.09893
124,10,2.10542
126,10,2.11209
128,10,2.11891
130,10,2.12584
132,10,2.13284
134,10,2.13989
136,10,2.14695
138,10,2.15398
140,10,2.16095
142,10,2.16783
144,10,2.17457
146,10,2.18115
148,10,2.18753
150,10,2.19369
152,10,2.19959
154,10,2.2052
156,10,2.2105
158,10,2.21546
160,10,2.22006
162,10,2.22426
164,10,2.22807
166,10,2.23144
168,10,2.23438
170,10,2.23685
172,10,2.23886
174,10,2.24039
176,10,2.24143
178,10,2.24198
180,10,2.24204
-180,12,2.23763
-178,12,2.23703
-176,12,2.23572
-174,12,2.23371
-172,12,2.23101
-170,12,2.22762
-168,12,2.22356
-166,12,2.21885
-164,12,2.21352
-162,12,2.20758
-160,12,2.20106
-158,12,2.19399
-156,12,2.18642
-154,12,2.17836
-152,12,2.16986
-150,12,2.16095
-148,12,2.15169
-146,12,2.14211
-144,12,2.13226
-142,12,2.12219
-140,12,2.11194
-138,12,2.10156
-136,12,2.0911
-134,12,2.08061
-132,12,2.07015
-130,12,2.05976
-128,12,2.0495
-126,12,2.03941
-124,12,2.02954
-122,12,2.01994
-120,12,2.01067
-118,12,2.00176
-116,12,1.99326
-114,12,1.98521
-112,12,1.97766
-110,12,1.97063
-108,12,1.96417
-106,12,1.95831
-104,12,1.95308
-102,12,1.9485
-100,12,1.9446
-98,12,1.9414
-96,12,1.93891
-94,12,1.93715
-92,12,1.93613
-90,12,1.93585
-88,12,1.93631
-86,12,1.93752
-84,12,1.93946
-82,12,1.94213
-80,12,1.94551
-78,12,1.94959
-76,12,1.95434
-74,12,1.95975
-72,12,1.96579
-70,12,1.97242
-68,12,1.97962
-66,12,1.98734
-64,12,1.99556
-62,12,2.00422
-60,12,2.01329
-58,12,2.02273
-56,12,2.03248
-54,12,2.0425
-52,12,2.05274
-50,12,2.06315
-48,12,2.07368
-46,12,2.08428
-44,12,2.0949
-42,12,2.10549
-40,12,2.11599
-38,12,2.12636
-36,12,2.13655
-34,12,2.14651
-32,12,2.15619
-30,12,2.16555
-28,12,2.17454
-26,12,2.18312
-24,12,2.19126
-22,12,2.19891
-20,12,2.20604
-18,12,2.21261
-16,12,2.2186
-14,12,2.22398
-12,12,2.22872
-10,12,2.2328
-8,12,2.23621
-6,12,2.23892
-4,12,2.24093
-2,12,2.24223
0,12,2.24281
2,12,2.24267
4,12,2.24181
6,12,2.24024
8,12,2.23796
10,12,2.23499
12,12,2.23133
14,12,2.22701
16,12,2.22205
18,12,2.21647
20,12,2.2103
22,12,2.20357
24,12,2.19631
26,12,2.18855
28,12,2.18033
30,12,2.17169
32,12,2.16268
34,12,2.15334
36,12,2.1437
38,12,2.13383
40,12,2.12376
42,12,2.11354
44,12,2.10323
46,12,2.09288
48,12,2.08253
50,12,2.07224
52,12,2.06206
54,12,2.05204
56,12,2.04222
58,12,2.03267
60,12,2.02341
62,12,2.01451
64,12,2.00601
66,12,1.99794
68,12,1.99036
70,12,1.98329
72,12,1.97677
74,12,1.97085
76,12,1.96553
78,12,1.96086
80,12,1.95686
82,12,1.95355
84,12,1.95094
86,12,1.94904
88,12,1.94787
90,12,1.94744
92,12,1.94773
94,12,1.94876
96,12,1.95052
98,12,1.95299
100,12,1.95617
102,12,1.96003
104,12,1.96456
106,12,1.96973
108,12,1.97552
110,12,1.9819
112,12,1.98882
114,12,1.99627
116,12,2.00419
118,12,2.01256
120,12,2.02132
122,12,2.03043
124,12,2.03984
126,12,2.04951
128,12,2.0594
130,12,2.06944
132,12,2.07959
134,12,2.0898
136,12,2.10002
138,12,2.11019
140,12,2.12027
142,12,2.13021
144,12,2.13996
146,12,2.14947
148,12,2.1587
150,12,2.16759
152,12,2.17611
154,12,2.18422
156,12,2.19188
158,12,2.19904
160,12,2.20568
162,12,2.21177
164,12,2.21726
166,12,2.22215
168,12,2.2264
170,12,2.22999
172,12,2.23291
174,12,2.23515
176,12,2.23668
178,12,2.23751
180,12,2.23763
-180,14,2.2327
-178,14,2.23193
-176,14,2.2302
-174,14,2.22751
-172,14,2.22388
-170,14,2.21932
-168,14,2.21386
-166,14,2.20751
-164,14,2.20031
-162,14,2.19229
-160,14,2.18349
-158,14,2.17394
-156,14,2.16369
-154,14,2.15278
-152,14,2.14127
-150,14,2.12922
-148,14,2.11666
-146,14,2.10368
-144,14,2.09031
-142,14,2.07664
-140,14,2.06272
-138,14,2.04862
-136,14,2.03441
-134,14,2.02015
-132,14,2.00591
-130,14,1.99177
-128,14,1.97779
-126,14,1.96404
-124,14,1.95059
-122,14,1.93751
-120,14,1.92485
-118,14,1.91269
-116,14,1.90108
-114,14,1.89008
-112,14,1.87975
-110,14,1.87014
-108,14,1.8613
-106,14,1.85327
-104,14,1.8461
-102,14,1.83983
-100,14,1.83447
-98,14,1.83008
-96,14,1.82665
-94,14,1.82422
-92,14,1.8228
-90,14,1.82239
-88,14,1.823
-86,14,1.82462
-84,14,1.82725
-82,14,1.83087
-80,14,1.83547
-78,14,1.84102
-76,14,1.84749
-74,14,1.85486
-72,14,1.86307
-70,14,1.8721
-68,14,1.8819
-66,14,1.89242
-64,14,1.9036
-62,14,1.91539
-60,14,1.92773
-58,14,1.94056
-56,14,1.95381
-54,14,1.96743
-52,14,1.98134
-50,14,1.99548
-48,14,2.00978
-46,14,2.02416
-44,14,2.03857
-42,14,2.05292
-40,14,2.06716
-38,14,2.08121
-36,14,2.095
-34,14,2.10848
-32,14,2.12158
-30,14,2.13424
-28,14,2.1464
-26,14,2.15799
-24,14,2.16898
-22,14,2.17931
-20,14,2.18892
-18,14,2.19779
-16,14,2.20586
-14,14,2.21309
-12,14,2.21947
-10,14,2.22496
-8,14,2.22952
-6,14,2.23316
-4,14,2.23584
-2,14,2.23755
0,14,2.2383
2,14,2.23807
4,14,2.23686
6,14,2.23469
8,14,2.23157
10,14,2.2275
12,14,2.22251
14,14,2.21663
16,14,2.20987
18,14,2.20227
20,14,2.19387
22,14,2.18471
24,14,2.17483
26,14,2.16427
28,14,2.15309
30,14,2.14134
32,14,2.12908
34,14,2.11636
36,14,2.10324
38,14,2.0898
40,14,2.07608
42,14,2.06217
44,14,2.04812
46,14,2.03401
48,14,2.0199
50,14,2.00587
52,14,1.99198
54,14,1.97831
56,14,1.96492
58,14,1.95187
60,14,1.93924
62,14,1.92709
64,14,1.91547
66,14,1.90445
68,14,1.89409
70,14,1.88444
72,14,1.87554
74,14,1.86744
76,14,1.86019
78,14,1.85382
80,14,1.84836
82,14,1.84384
84,14,1.84029
86,14,1.83772
88,14,1.83615
90,14,1.83559
92,14,1.83603
94,14,1.83747
96,14,1.83992
98,14,1.84334
100,14,1.84773
102,14,1.85306
104,14,1.8593
106,14,1.86642
108,14,1.87439
110,14,1.88315
112,14,1.89267
114,14,1.9029
116,14,1.91378
118,14,1.92525
120,14,1.93726
122,14,1.94975
124,14,1.96265
126,14,1.9759
128,14,1.98942
130,14,2.00316
132,14,2.01704
134,14,2.031
136,14,2.04496
138,14,2.05885
140,14,2.07262
