Phi[deg],Theta[deg],rETotal[mV]
-66,14,8723.44
-64,14,8734.68
-62,14,8746.54
-60,14,8758.98
-58,14,8771.92
-56,14,8785.32
-54,14,8799.11
-52,14,8813.21
-50,14,8827.57
-48,14,8842.11
-46,14,8856.77
-44,14,8871.47
-42,14,8886.14
-40,14,8900.72
-38,14,8915.12
-36,14,8929.3
-34,14,8943.17
-32,14,8956.66
-30,14,8969.72
-28,14,8982.29
-26,14,8994.29
-24,14,9005.67
-22,14,9016.38
-20,14,9026.37
-18,14,9035.59
-16,14,9043.98
-14,14,9051.53
-12,14,9058.17
-10,14,9063.9
-8,14,9068.66
-6,14,9072.46
-4,14,9075.26
-2,14,9077.05
0,14,9077.83
2,14,9077.59
4,14,9076.33
6,14,9074.06
8,14,9070.8
10,14,9066.55
12,14,9061.35
14,14,9055.21
16,14,9048.16
18,14,9040.26
20,14,9031.52
22,14,9022
24,14,9011.74
26,14,9000.79
28,14,8989.21
30,14,8977.06
32,14,8964.39
34,14,8951.28
36,14,8937.77
38,14,8923.94
40,14,8909.87
42,14,8895.6
44,14,8881.23
46,14,8866.81
48,14,8852.42
50,14,8838.14
52,14,8824.02
54,14,8810.14
56,14,8796.56
58,14,8783.36
60,14,8770.6
62,14,8758.33
64,14,8746.63
66,14,8735.54
68,14,8725.13
70,14,8715.43
72,14,8706.51
74,14,8698.39
76,14,8691.13
78,14,8684.76
80,14,8679.3
82,14,8674.79
84,14,8671.25
86,14,8668.69
88,14,8667.12
90,14,8666.55
92,14,8666.99
94,14,8668.44
96,14,8670.87
98,14,8674.29
100,14,8678.68
102,14,8684
104,14,8690.25
106,14,8697.38
108,14,8705.36
110,14,8714.15
112,14,8723.7
114,14,8733.98
116,14,8744.92
118,14,8756.48
120,14,8768.6
122,14,8781.22
124,14,8794.27
126,14,8807.69
128,14,8821.41
130,14,8835.38
132,14,8849.51
134,14,8863.74
136,14,8878
138,14,8892.21
140,14,8906.31
142,14,8920.23
144,14,8933.9
146,14,8947.25
148,14,8960.21
150,14,8972.73
152,14,8984.74
154,14,8996.17
156,14,9006.98
158,14,9017.1
160,14,9026.5
162,14,9035.11
164,14,9042.91
166,14,9049.85
168,14,9055.89
170,14,9061
172,14,9065.17
174,14,9068.37
176,14,9070.57
178,14,9071.78
180,14,9071.98
-180,16,9066.4
-178,16,9065.38
-176,16,9063.07
-174,16,9059.46
-172,16,9054.58
-170,16,9048.44
-168,16,9041.08
-166,16,9032.54
-164,16,9022.84
-162,16,9012.05
-160,16,9000.21
-158,16,8987.39
-156,16,8973.63
