Phi[deg],Theta[deg],rETotal[mV]
-172,14,5775.62
-170,14,5759.21
-168,14,5739.35
-166,14,5716.15
-164,14,5689.75
-162,14,5660.3
-160,14,5627.96
-158,14,5592.92
-156,14,5555.37
-154,14,5515.53
-152,14,5473.6
-150,14,5429.83
-148,14,5384.44
-146,14,5337.68
-144,14,5289.79
-142,14,5241.02
-140,14,5191.63
-138,14,5141.87
-136,14,5091.98
-134,14,5042.21
-132,14,4992.8
-130,14,4943.99
-128,14,4896.01
-126,14,4849.08
-124,14,4803.42
-122,14,4759.23
-120,14,4716.72
-118,14,4676.05
-116,14,4637.41
-114,14,4600.97
-112,14,4566.87
-110,14,4535.26
-108,14,4506.25
-106,14,4479.98
-104,14,4456.53
-102,14,4436.01
-100,14,4418.5
-98,14,4404.05
-96,14,4392.73
-94,14,4384.58
-92,14,4379.62
-90,14,4377.89
-88,14,4379.37
-86,14,4384.08
-84,14,4391.98
-82,14,4403.06
-80,14,4417.27
-78,14,4434.55
-76,14,4454.84
-74,14,4478.06
-72,14,4504.12
-70,14,4532.92
-68,14,4564.34
-66,14,4598.26
-64,14,4634.53
-62,14,4673
-60,14,4713.52
-58,14,4755.91
-56,14,4799.97
-54,14,4845.53
-52,14,4892.36
-50,14,4940.27
-48,14,4989.02
-46,14,5038.39
-44,14,5088.13
-42,14,5138.02
-40,14,5187.79
-38,14,5237.2
-36,14,5286.01
-34,14,5333.96
-32,14,5380.79
-30,14,5426.27
-28,14,5470.15
-26,14,5512.19
-24,14,5552.16
-22,14,5589.85
-20,14,5625.05
-18,14,5657.55
-16,14,5687.18
-14,14,5713.76
-12,14,5737.15
-10,14,5757.22
-8,14,5773.83
-6,14,5786.91
-4,14,5796.37
-2,14,5802.16
0,14,5804.25
2,14,5802.62
4,14,5797.28
6,14,5788.28
8,14,5775.65
10,14,5759.47
12,14,5739.85
14,14,5716.88
16,14,5690.72
18,14,5661.49
20,14,5629.38
22,14,5594.57
24,14,5557.24
26,14,5517.62
28,14,5475.91
30,14,5432.34
32,14,5387.16
34,14,5340.61
36,14,5292.92
38,14,5244.35
40,14,5195.16
42,14,5145.58
44,14,5095.87
46,14,5046.29
48,14,4997.06
50,14,4948.42
52,14,4900.61
54,14,4853.85
56,14,4808.35
58,14,4764.32
60,14,4721.96
62,14,4681.44
64,14,4642.95
66,14,4606.65
68,14,4572.68
70,14,4541.2
72,14,4512.32
74,14,4486.16
76,14,4462.84
78,14,4442.43
80,14,4425.01
82,14,4410.66
84,14,4399.43
86,14,4391.37
88,14,4386.49
90,14,4384.82
92,14,4386.37
94,14,4391.13
96,14,4399.09
98,14,4410.2
100,14,4424.44
102,14,4441.74
104,14,4462.04
106,14,4485.26
108,14,4511.31
110,14,4540.09
112,14,4571.48
114,14,4605.35
116,14,4641.57
118,14,4679.98
120,14,4720.42
